"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17974697564884257,17841400882674637,elitravelguy,"Eli Facenda","They don’t tell you this about wealth. 

Agree or disagree? 👇🏼",58,"05/26/2026 10:23",https://www.instagram.com/reel/DYz2HS0M2ks/,"IG reel",,Lifetime,4993,3206,287,56,2,0,7
18129029371615857,17841400882674637,elitravelguy,"Eli Facenda","Happy Fathers Day!! 

For those who still have your dad around, consider yourselves lucky.

I know I sure am. 

Prioritizing creating memories like this together is one of the things that gives me the most joy in the world. 

This was from January at our annual baseball tournament that we play in together. 

The Facendas took home the hardware! 

Love you pops!",0,"06/21/2026 09:49",https://www.instagram.com/p/DZ2u1rOxOkV/,"IG image",,Lifetime,4079,2276,139,30,0,0,25
18094696763189148,17841400882674637,elitravelguy,"Eli Facenda","Sometimes, you've gotta do it to prove them wrong. Know what I mean? 😎",12,"06/19/2026 12:33",https://www.instagram.com/reel/DZx31Txggii/,"IG reel",,Lifetime,7460,4451,341,82,1,14,40
18105273086052433,17841400882674637,elitravelguy,"Eli Facenda","You haven't taken a real day off in months. And you're still calling it momentum.⁠
⁠
Swipe through. This one's for you.⁠
⁠
The highest performing entrepreneurs I know aren't the ones who grind the hardest. They're the ones who figured out how to stay in flow without fully burning out.⁠
⁠
I you've built a business you're proud of but the life you actually want keeps getting pushed to someday, comment PLAN. ⁠
⁠
I'll show you how to turn what you've already built into the travel and experiences you've been putting off.⁠
⁠
Life is short. Book the trip.",0,"06/18/2026 07:32",https://www.instagram.com/p/DZuw9tqEbX4/,"IG carousel",,Lifetime,8665,3934,348,47,0,4,41
18005233919751268,17841400882674637,elitravelguy,"Eli Facenda","The World Cup is confirming something I've believed my whole life.⁠
⁠
Every time you actually go to another country and hang out with the locals, you realize pretty quickly that 99% of the narratives you had about those people are just... wrong.⁠
⁠
Everyone likes to dance when music comes on. Everyone's rooting for their team with the same intensity. Everyone's talking a little trash about the other side and laughing about it after.⁠
⁠
What this World Cup is showing the world right now is something travel has always shown me personally. ⁠
⁠
When you stop getting your information through a screen and you actually put boots on the ground, it changes everything.⁠
⁠
The 0.1% of people who are genuinely bad actors get 99% of the attention. ⁠
⁠
And we let that shape how we see entire countries, entire cultures, entire groups of people.⁠
⁠
Go see for yourself. ⁠
⁠
The world is almost always better than what you're being shown.⁠
⁠
Life is short. Book the trip.",88,"06/17/2026 15:01",https://www.instagram.com/reel/DZs_PTwjj6H/,"IG reel",,Lifetime,407599,341229,24788,4008,514,975,2635
18102819506090933,17841400882674637,elitravelguy,"Eli Facenda","Comment ""PLAN"" and I'll help you build a custom strategy to turn your business into a travel and experience generating machine.⁠
⁠
$28,000 in business class flights to Europe and back.⁠
⁠
Paid for with points and a few hundred dollars cash.⁠
⁠
That is the game when you know how to play it.⁠
⁠
Two seats. Lie-flat beds. Champagne at 35,000 feet. The kind of experience most people assume is reserved for a different tax bracket.⁠
⁠
It's not. It's reserved for people who understand the system.⁠
⁠
Your business is already generating the spend. You are just not capturing the value from it.⁠
⁠
When you know which cards to stack, which airline programs to move your points into, and how to price out award space before it disappears, $28,000 in flights becomes a few hundred bucks and some points you were going to earn anyway.⁠
⁠
This is what I help entrepreneurs build. ⁠
⁠
A machine that funds the life you actually want to live.⁠
⁠
Comment ""PLAN"" below and let's build yours.",93,"06/16/2026 14:53",https://www.instagram.com/reel/DZqZdZ2kp2k/,"IG reel",,Lifetime,4274,2715,327,32,4,15,38
18121358512681152,17841400882674637,elitravelguy,"Eli Facenda","So happy to be back in Austin. Still doesn't feel real.⁠
⁠
Than you @gooddaysinaustin for helping us find the perfect place.⁠
⁠
Here's to a new chapter! 🥂",58,"06/15/2026 14:48",https://www.instagram.com/reel/DZn0I92j9Oe/,"IG reel",,Lifetime,7585,3381,350,34,0,9,60
17944273290212926,17841400882674637,elitravelguy,"Eli Facenda","I was living out of integrity…

I kept saying, “when we’re in Colorado, I’m gonna mountain bike a ton. It’s one of the things I’m most excited for”

Fast forward 6 months and our time there was winding down. 

I looked up and realized I hadn’t been on the mountain bike more than a few times… even though I was genuinely desiring it. 

The time was just never right. 

The weather was funky.

I was traveling. 

But my definition of integrity is when my intentions, words and actions are in alignment. 

So by my definition, I was out of integrity. 

Saying one thing, but not doing it. 

I realized I had fallen into the classic “later” trap.

And especially as an entrepreneur in a growth season, there’s plenty of legit reasons to justify why I could focus on the next optimization instead and why this wasn’t the right time. 

I started to believe it will be more convenient later.

Tomorrow, next week, next month. 

The reality is, it never gets more convenient.

The demand on our time only increases as our business grows. 

So it’s not about having more time on the calendar, it’s about remembering what your priorities are. 

So what’s the point?

Mountain biking wasn’t about mountain biking. 

It was about giving myself permission to prioritize my own joy and fulfillment. About reconnecting to the LIFE I want to create first, before business even enters the convo. 

So sure, mountain biking alone may seem trivial, but when you expand it out.. how often do you find yourself having a hard time making time for the experiences that fill you up? 

Most of us entrepreneurs get so identified with the business we forget how to be a human that has a full life, not just a successful business. 

And we especially forget that being full of aliveness is the ultimate unfair advantage in business. 

So next time you’re feeling you’re out of integrity, just remember no one will prioritize your joy for you. 

And yeah… you could ALMOST slip a piece of paper under this jump 🤣",0,"06/15/2026 14:04",https://www.instagram.com/p/DZnuVkxgJmU/,"IG image",,Lifetime,4210,2319,298,31,0,4,29
18365051107225988,17841400882674637,elitravelguy,"Eli Facenda","How the “more” trap works…

Most entrepeneurs I talk to think they are one “____” away from FINALLY having the freedom to enjoy it.

- One exit away 
- One hire away 
- One funnel away 

Fill in the blank…but the issue is the goal post keeps moving. 

And it creates a pattern of…

- expand the business -> expand financially -> wonder why the freedom doesn’t taste as good as it should.

But I’ve noticed a pattern from those who seem fully savor life.

And it’s not that they got the business to a better spot, had a bigger exit, or did some crazy thing to the model.

It was a simpler realization that created a shift in priorities.

The realization is usually something like: “oh shit - ‘more’ is an infinite game and if I don’t change I’ll never arrive…I’ll just keep optimizing, keep chasing, and never enjoy”

It’s actually a scary feeling because at a certain level, continuing to grind harder feels safer. It’s more familiar. It’s more “who we are”. 

Stopping to go check off your life bucket list?

It weirdly feels scary at first. It’s unfamiliar. 

“Will I lose my edge?”
“What will happen to my momentum?” 

Our identities are so tied to being the hustler and the one who can grind, that when the freedom actually arrives - (you know, the freedom you were after when you first started) we rarely stop to soak it in. 

I’m not saying money doesn’t matter or that you should give up on ambitions. Quite the opposite. 

All I’m saying is that if you’ve achieved success but aren’t FEELING like it’s as juicy as you wanted… maybe it’s time to prioritize “experiential wealth” and go create more memories with those you love. 

Go embark on more adventures that stretch you, that scare you, that open up your sense of awe and wonder. 

The business milestones will always be there.

Then see how alive you feel. 

Life is short.
Book the trip.",10,"06/14/2026 16:18",https://www.instagram.com/reel/DZlZEc6Np4b/,"IG reel",,Lifetime,5231,3058,278,41,0,0,25
18128405185617913,17841400882674637,elitravelguy,"Eli Facenda","Comment which regret you’d rather have & why 👇🏼

Of course I am biased, but I want to hear your rationale and philosophy!",10,"06/13/2026 11:03",https://www.instagram.com/reel/DZiRIwevlOF/,"IG reel",,Lifetime,6831,3982,294,45,2,11,33
